DATE,DCOILBRENTEU_NBD20001229
2000-01-04,106.06732
2000-01-05,105.04872
2000-01-06,104.29584
2000-01-07,103.41010
2000-01-10,100.84145
2000-01-11,105.97874
2000-01-12,109.03454
2000-01-13,110.27458
2000-01-14,112.93180
2000-01-17,115.10186
2000-01-18,116.51904
2000-01-19,115.89903
2000-01-20,116.29761
2000-01-21,120.37201
2000-01-24,119.66342
2000-01-25,120.63773
2000-01-26,120.37201
2000-01-27,119.17626
2000-01-28,117.75908
2000-01-31,119.92914
2000-02-01,121.12489
2000-02-02,120.23915
2000-02-03,122.23206
2000-02-04,121.70062
2000-02-07,123.73782
2000-02-08,122.27635
2000-02-09,121.52347
2000-02-10,120.99203
2000-02-11,123.20638
2000-02-14,124.13640
2000-02-15,124.53499
2000-02-16,124.49070
2000-02-17,121.96634
2000-02-18,120.72631
2000-02-21,119.26484
2000-02-22,120.54916
2000-02-23,123.64925
2000-02-24,124.93357
2000-02-25,126.35075
2000-02-28,127.10363
2000-02-29,128.47653
2000-03-01,131.88663
2000-03-02,133.39238
2000-03-03,132.10806
2000-03-06,133.21523
2000-03-07,141.40833
2000-03-08,139.10540
2000-03-09,128.91940
2000-03-10,128.29938
2000-03-13,129.53942
2000-03-14,127.67936
2000-03-15,124.13640
2000-03-16,123.87068
2000-03-17,123.42781
2000-03-20,113.33038
2000-03-21,110.40744
2000-03-22,114.12755
2000-03-23,112.13463
2000-03-24,113.99469
2000-03-27,111.42604
2000-03-28,109.83171
2000-03-29,105.27015
2000-03-30,106.02303
2000-03-31,106.20018
2000-04-03,109.03454
2000-04-04,103.01151
2000-04-05,101.77148
2000-04-06,101.41718
2000-04-07,100.22143
2000-04-10,93.35695
2000-04-11,93.22409
2000-04-12,94.77414
2000-04-13,100.31001
2000-04-14,98.00709
2000-04-17,98.31709
2000-04-18,100.39858
2000-04-19,104.07440
2000-04-20,104.38441
2000-04-21,.
2000-04-24,.
2000-04-25,103.45438
2000-04-26,101.41718
2000-04-27,102.17006
2000-04-28,105.35872
2000-05-01,.
2000-05-02,109.52170
2000-05-03,111.29318
2000-05-04,110.98317
2000-05-05,110.40744
2000-05-08,115.27901
2000-05-09,118.20195
2000-05-10,117.75908
2000-05-11,120.54916
2000-05-12,123.91497
2000-05-15,125.15500
2000-05-16,127.45793
2000-05-17,125.77502
2000-05-18,127.98937
2000-05-19,128.47653
2000-05-22,125.99646
2000-05-23,124.53499
2000-05-24,128.29938
2000-05-25,131.17803
2000-05-26,133.25952
2000-05-29,.
2000-05-30,132.37378
2000-05-31,131.26661
2000-06-01,131.48804
2000-06-02,129.98229
2000-06-05,125.19929
2000-06-06,125.86360
2000-06-07,125.42073
2000-06-08,129.93800
2000-06-09,128.43224
2000-06-12,133.30381
2000-06-13,134.63242
2000-06-14,133.39238
2000-06-15,131.84234
2000-06-16,127.01506
2000-06-19,122.63065
2000-06-20,127.81222
2000-06-21,136.00531
2000-06-22,135.56244
2000-06-23,137.37821
2000-06-26,136.84677
2000-06-27,134.94243
2000-06-28,137.95394
2000-06-29,137.51107
2000-06-30,139.85828
2000-07-03,142.38264
2000-07-04,136.09389
2000-07-05,134.41098
2000-07-06,135.82817
2000-07-07,135.60673
2000-07-10,135.42958
2000-07-11,132.10806
2000-07-12,134.05669
2000-07-13,137.95394
2000-07-14,136.49247
2000-07-17,125.95217
2000-07-18,126.04074
2000-07-19,125.46501
2000-07-20,123.33924
2000-07-21,118.15766
2000-07-24,118.86625
2000-07-25,114.17183
2000-07-26,114.79185
2000-07-27,113.37467
2000-07-28,114.96900
2000-07-31,112.04606
2000-08-01,111.78034
2000-08-02,118.68911
2000-08-03,119.75199
2000-08-04,124.04783
2000-08-07,122.05492
2000-08-08,122.14349
2000-08-09,124.57927
2000-08-10,128.34367
2000-08-11,130.38087
2000-08-14,129.49513
2000-08-15,132.86094
2000-08-16,131.35518
2000-08-17,136.00531
2000-08-18,136.22675
2000-08-21,138.79539
2000-08-22,133.65810
2000-08-23,143.40124
2000-08-24,140.25686
2000-08-25,147.29849
2000-08-28,147.43136
2000-08-29,150.70859
2000-08-30,151.15146
2000-08-31,155.35872
2000-09-01,155.40301
2000-09-04,159.52170
2000-09-05,158.19309
2000-09-06,162.53322
2000-09-07,165.76616
2000-09-08,160.62888
2000-09-11,163.28609
2000-09-12,147.47564
2000-09-13,137.64393
2000-09-14,138.83968
2000-09-15,149.15855
2000-09-18,153.01151
2000-09-19,148.27281
2000-09-20,149.11426
2000-09-21,142.51550
2000-09-22,139.90257
2000-09-25,132.90523
2000-09-26,132.59522
2000-09-27,131.88663
2000-09-28,128.03366
2000-09-29,125.86360
2000-10-02,131.31089
2000-10-03,135.69531
2000-10-04,133.17095
2000-10-05,129.27369
2000-10-06,131.17803
2000-10-09,132.81665
2000-10-10,137.06820
2000-10-11,138.39681
2000-10-12,148.13995
2000-10-13,148.36138
2000-10-16,141.85120
2000-10-17,134.54384
2000-10-18,137.20106
2000-10-19,138.57396
2000-10-20,133.56953
2000-10-23,137.20106
2000-10-24,140.87688
2000-10-25,138.04252
2000-10-26,139.41541
2000-10-27,138.66253
2000-10-30,137.68822
2000-10-31,133.52524
2000-11-01,140.03543
2000-11-02,136.44818
2000-11-03,136.44818
2000-11-06,137.28964
2000-11-07,139.90257
2000-11-08,138.61825
2000-11-09,140.78831
2000-11-10,142.86980
2000-11-13,143.93268
2000-11-14,146.36847
2000-11-15,149.77857
2000-11-16,151.28432
2000-11-17,146.54562
2000-11-20,151.59433
2000-11-21,147.60850
2000-11-22,146.63419
2000-11-23,147.43136
2000-11-24,147.69708
2000-11-27,148.22852
2000-11-28,144.33127
2000-11-29,143.71125
2000-11-30,144.06554
2000-12-01,139.90257
2000-12-04,134.49956
2000-12-05,127.90080
2000-12-06,121.65633
2000-12-07,123.33924
2000-12-08,118.91054
2000-12-11,120.81488
2000-12-12,118.73339
2000-12-13,118.86625
2000-12-14,107.70593
2000-12-15,108.23738
2000-12-18,111.20461
2000-12-19,107.88308
2000-12-20,103.14438
2000-12-21,99.20283
2000-12-22,98.44996
2000-12-25,.
2000-12-26,.
2000-12-27,100.00000
2000-12-28,98.71568
2000-12-29,100.00000
2001-01-01,.
2001-01-02,103.76439
2001-01-03,103.80868
2001-01-04,108.81311
2001-01-05,109.69885
2001-01-08,109.61027
2001-01-09,106.86448
2001-01-10,110.62888
2001-01-11,113.37467
2001-01-12,113.50753
2001-01-15,115.27901
2001-01-16,113.02037
2001-01-17,107.48450
2001-01-18,109.56599
2001-01-19,116.43047
2001-01-22,122.63065
2001-01-23,119.66342
2001-01-24,119.75199
2001-01-25,119.30912
2001-01-26,119.75199
2001-01-29,119.35341
2001-01-30,116.56333
2001-01-31,117.75908
2001-02-01,120.32772
2001-02-02,127.98937
2001-02-05,129.53942
2001-02-06,128.87511
2001-02-07,130.82374
2001-02-08,135.87245
