DATE,PPIACO_NBD19470101,CPIAUCSL_NBD19470101,PCE_NBD19590101,FRBATLWGT3MMAUMHWGO_NBD19970301,M2SL_NBD20010101,IR_NBD20010101
2000-01-01,523.67347,788.17505,2137.50408,108.88889,93.77977,97.31343
2000-02-01,529.79592,791.43389,2164.42339,106.66667,94.04506,99.20398
2000-03-01,533.87755,796.08939,2184.41686,106.66667,94.66407,99.40299
2000-04-01,533.46939,795.62384,2181.99935,108.88889,95.78753,98.00995
2000-05-01,537.14286,797.02048,2191.99608,108.88889,95.54234,98.30846
2000-06-01,546.12245,801.67598,2204.14897,111.11111,95.90208,99.70149
2000-07-01,545.71429,804.00372,2211.20549,113.33333,96.25580,99.70149
2000-08-01,542.44898,804.00372,2222.41098,113.33333,96.82055,99.90050
2000-09-01,549.79592,808.19367,2250.44103,115.55556,97.53803,101.09453
2000-10-01,552.65306,809.59032,2252.13982,115.55556,97.85960,100.69652
2000-11-01,551.02041,810.98696,2257.36687,120.00000,98.08268,100.69652
2000-12-01,555.91837,812.84916,2271.21856,120.00000,98.98105,100.00000
2001-01-01,571.42857,817.50466,2282.71807,120.00000,100.00000,100.00000
2001-02-01,560.81633,819.36685,2287.42241,117.77778,100.77175,99.40299
2001-03-01,554.69388,819.83240,2285.75629,117.77778,101.93541,97.81095
2001-04-01,556.73469,821.22905,2288.20647,117.77778,103.21965,97.31343
2001-05-01,558.36735,825.41899,2304.08363,113.33333,103.16136,97.51244
2001-06-01,553.06122,827.28119,2309.60470,115.55556,103.97532,97.11443
2001-07-01,544.48980,825.88454,2313.72101,113.33333,104.57624,95.62189
2001-08-01,544.48980,825.88454,2326.59262,115.55556,105.25554,95.52239
2001-09-01,544.08163,829.14339,2289.12120,111.11111,107.49040,95.42289
2001-10-01,531.83673,826.81564,2356.38680,111.11111,107.26330,93.23383
2001-11-01,529.79592,826.35009,2346.39007,111.11111,108.14157,91.84080
2001-12-01,522.85714,825.88454,2341.29369,111.11111,109.20674,90.94527
2002-01-01,524.48980,827.28119,2347.14146,108.88889,109.61473,91.14428
2002-02-01,524.08163,828.67784,2360.40510,104.44444,110.20359,91.14428
2002-03-01,529.79592,831.00559,2366.35087,102.22222,110.44074,92.33831
2002-04-01,533.87755,834.72998,2388.92519,95.55556,110.44476,93.83085
2002-05-01,533.87755,835.66108,2381.21529,97.77778,110.96931,93.93035
2002-06-01,534.28571,836.12663,2392.19209,93.33333,111.47175,93.63184
2002-07-01,535.51020,837.98883,2413.36165,91.11111,112.32791,94.02985
2002-08-01,536.73469,840.31657,2421.62692,88.88889,113.18206,94.32836
2002-09-01,540.00000,841.71322,2414.73375,86.66667,113.67245,95.02488
2002-10-01,543.67347,843.57542,2429.01013,84.44444,114.56478,95.02488
2002-11-01,543.26531,844.97207,2438.35348,77.77778,115.57369,94.12935
2002-12-01,542.44898,846.36872,2456.68082,80.00000,116.00378,94.72637
2003-01-01,552.24490,850.09311,2463.67200,82.22222,116.65896,96.41791
2003-02-01,561.63265,854.74860,2466.05684,86.66667,117.38449,98.00995
2003-03-01,576.32653,856.14525,2486.60568,82.22222,117.80051,98.60697
2003-04-01,558.36735,852.88641,2494.11957,77.77778,118.55216,95.52239
2003-05-01,557.95918,851.48976,2499.28128,77.77778,119.76807,94.82587
2003-06-01,563.26531,852.42086,2515.38713,80.00000,120.50566,95.72139
2003-07-01,562.04082,855.21415,2534.13917,82.22222,121.44422,96.21891
2003-08-01,563.26531,858.93855,2565.20745,77.77778,122.61189,96.21891
2003-09-01,565.30612,861.73184,2565.73015,77.77778,122.04916,95.72139
2003-10-01,568.57143,860.80074,2570.20582,75.55556,121.86426,95.82090
2003-11-01,566.93878,861.26629,2588.23914,75.55556,121.97480,96.31841
2003-12-01,569.38776,863.59404,2597.32114,73.33333,121.93862,97.01493
2004-01-01,577.14286,867.31844,2615.84450,73.33333,122.10342,98.50746
2004-02-01,580.00000,869.18063,2626.72329,75.55556,122.88321,98.90547
2004-03-01,584.08163,871.04283,2645.80203,75.55556,123.60271,99.70149
2004-04-01,591.02041,872.43948,2648.54623,75.55556,124.42872,99.90050
2004-05-01,599.18367,876.16387,2671.18589,75.55556,125.97423,101.39303
2004-06-01,600.81633,879.42272,2665.01143,73.33333,126.02247,101.19403
2004-07-01,601.63265,880.35382,2690.91800,75.55556,126.29982,101.59204
2004-08-01,604.08163,880.81937,2702.25417,77.77778,126.82839,103.08458
2004-09-01,602.85714,883.61266,2725.08984,82.22222,127.52578,103.58209
2004-10-01,612.24490,888.26816,2743.25384,82.22222,128.08851,105.27363
2004-11-01,617.95918,892.45810,2758.73897,82.22222,128.62110,104.97512
2004-12-01,613.06122,892.45810,2778.30774,77.77778,128.99291,103.48259
2005-01-01,615.91837,891.99255,2776.11892,80.00000,129.11751,104.07960
2005-02-01,618.77551,895.71695,2796.17772,77.77778,129.28432,104.97512
2005-03-01,627.34694,898.97579,2809.01666,80.00000,129.46721,107.26368
2005-04-01,632.65306,901.76909,2835.15191,77.77778,129.74858,108.25871
2005-05-01,629.79592,901.30354,2832.93041,80.00000,130.09828,107.36318
2005-06-01,629.79592,901.76909,2859.65371,84.44444,130.75145,108.65672
2005-07-01,637.95918,907.35568,2892.45345,88.88889,131.38654,109.95025
2005-08-01,643.26531,912.94227,2891.24469,88.88889,132.04574,111.54229
2005-09-01,662.04082,925.51210,2907.67723,91.11111,132.73107,113.83085
2005-10-01,678.36735,926.90875,2920.12414,88.88889,133.42042,113.93035
2005-11-01,668.16327,922.25326,2922.63966,93.33333,133.75003,111.74129
2005-12-01,665.30612,922.25326,2934.04116,91.11111,134.29065,111.74129
2006-01-01,670.61224,927.83985,2963.60666,88.88889,135.14279,113.13433
2006-02-01,660.40816,928.30540,2971.57792,84.44444,135.63117,112.23881
2006-03-01,662.04082,929.70205,2983.63280,84.44444,135.91856,112.13930
2006-04-01,670.61224,934.35754,3002.80954,84.44444,136.66620,114.52736
2006-05-01,676.73469,937.15084,3015.94250,86.66667,136.80286,116.61692
2006-06-01,677.95918,939.47858,3025.02450,84.44444,137.56657,116.71642
2006-07-01,680.81633,944.59963,3052.53185,82.22222,138.39862,117.61194
2006-08-01,685.30612,948.78957,3052.00915,84.44444,139.01763,118.20896
2006-09-01,675.10204,944.13408,3062.85528,84.44444,139.56227,115.62189
2006-10-01,662.04082,939.94413,3068.80105,84.44444,140.54907,112.73632
2006-11-01,671.83673,940.40968,3070.95720,86.66667,141.25450,113.23383
2006-12-01,675.91837,945.53073,3099.73865,88.88889,142.12272,114.52736
2007-01-01,669.38776,947.09963,3116.20385,93.33333,142.88643,113.13433
2007-02-01,680.81633,950.77281,3125.12251,91.11111,143.20196,113.53234
2007-03-01,691.02041,955.71695,3140.05227,95.55556,143.88126,115.32338
2007-04-01,699.59184,958.58473,3150.47370,91.11111,145.33232,116.91542
2007-05-01,707.34694,962.54655,3164.26005,91.11111,145.61569,118.00995
2007-06-01,709.38776,964.77654,3171.12055,88.88889,146.28294,119.40299
2007-07-01,714.69388,966.49441,3185.59294,93.33333,146.89390,120.89552
2007-08-01,703.67347,966.79236,3201.20876,95.55556,148.42334,120.49751
2007-09-01,708.16327,970.88920,3216.30186,97.77778,148.78711,121.19403
2007-10-01,713.06122,973.88268,3228.58543,95.55556,149.06847,122.98507
2007-11-01,730.61224,981.53631,3252.49918,95.55556,149.56288,126.86567
2007-12-01,728.97959,984.38082,3258.02025,91.11111,150.16179,126.66667
2008-01-01,738.77551,987.77467,3265.73015,86.66667,150.84310,128.55721
2008-02-01,745.71429,990.16294,3260.92780,86.66667,152.55341,128.85572
2008-03-01,766.93878,993.70577,3278.43842,88.88889,153.87182,132.83582
2008-04-01,779.18367,996.00559,3289.87259,91.11111,154.73602,136.61692
2008-05-01,802.44898,1001.89944,3310.12741,91.11111,154.97719,140.49751
2008-06-01,818.36735,1012.39758,3328.03006,91.11111,155.33292,144.77612
2008-07-01,838.77551,1019.62756,3327.37667,91.11111,156.26746,146.76617
2008-08-01,812.24490,1018.10987,3324.30578,88.88889,156.56491,142.28856
2008-09-01,803.67347,1018.98045,3304.93303,88.88889,157.95767,137.11443
2008-10-01,760.81633,1010.21881,3278.04639,88.88889,160.08401,128.95522
2008-11-01,721.63265,992.33240,3229.40216,88.88889,161.09894,119.40299
2008-12-01,697.55102,984.16201,3202.05815,84.44444,164.64216,113.93035
2009-01-01,698.77551,986.65270,3216.98791,82.22222,166.28213,112.43781
2009-02-01,691.02041,990.24674,3209.57204,75.55556,166.87300,112.43781
2009-03-01,686.12245,989.26909,3192.81281,73.33333,168.20347,113.03483
